bundesland,jahr,monat,real,real-veraenderung,nominal,nominal-veraenderung
Hessen,2022,August,...,...,...,...
Hessen,2022,September,...,...,...,...
Hessen,2022,Oktober,...,...,...,...
Hessen,2022,November,...,...,...,...
Hessen,2022,Dezember,...,...,...,...
Mecklenburg-Vorpommern,2020,Januar,61.4,-2.7,66.9,-
Mecklenburg-Vorpommern,2020,Februar,69.6,2.5,75.7,4.7
Mecklenburg-Vorpommern,2020,März,43,-45.4,46.7,-44.3
Mecklenburg-Vorpommern,2020,April,16.5,-82.7,18,-82.4
Mecklenburg-Vorpommern,2020,Mai,40.6,-60.7,44.8,-60.2
Mecklenburg-Vorpommern,2020,Juni,113,-13,124.3,-12.6
Mecklenburg-Vorpommern,2020,Juli,154.6,-2.8,177.2,2.1
Mecklenburg-Vorpommern,2020,August,165.3,4.6,189.2,9.9
Mecklenburg-Vorpommern,2020,September,136.8,17.7,155.9,22
Mecklenburg-Vorpommern,2020,Oktober,111.1,6.6,127.9,11.8
Mecklenburg-Vorpommern,2020,November,18.6,-74,21.1,-73
Mecklenburg-Vorpommern,2020,Dezember,18.8,-75.8,22,-74
Mecklenburg-Vorpommern,2021,Januar,17.9,-70.8,19.9,-70.3
Mecklenburg-Vorpommern,2021,Februar,16,-77,18,-76.2
Mecklenburg-Vorpommern,2021,März,18.4,-57.2,20.6,-55.9
Mecklenburg-Vorpommern,2021,April,17.4,5.5,19.6,8.9
Mecklenburg-Vorpommern,2021,Mai,24,-40.9,27.2,-39.3
Mecklenburg-Vorpommern,2021,Juni,101.4,-10.3,114.9,-7.6
Mecklenburg-Vorpommern,2021,Juli,173.2,12,197.9,11.7
Mecklenburg-Vorpommern,2021,August,183.2,10.8,210.5,11.3
Mecklenburg-Vorpommern,2021,September,139.8,2.2,160.3,2.8
Mecklenburg-Vorpommern,2021,Oktober,122.4,10.2,140.5,9.9
Mecklenburg-Vorpommern,2021,November,65.8,253.8,75.5,257.8
Mecklenburg-Vorpommern,2021,Dezember,45.6,142.6,52.4,138.2
Mecklenburg-Vorpommern,2022,Januar,43.4,142.5,49.9,150.8
Mecklenburg-Vorpommern,2022,Februar,45.1,181.9,52.3,190.6
Mecklenburg-Vorpommern,2022,März,56.3,206,65.5,218
Mecklenburg-Vorpommern,2022,April,...,...,...,...
Mecklenburg-Vorpommern,2022,Mai,...,...,...,...
Mecklenburg-Vorpommern,2022,Juni,...,...,...,...
Mecklenburg-Vorpommern,2022,Juli,...,...,...,...
Mecklenburg-Vorpommern,2022,August,...,...,...,...
Mecklenburg-Vorpommern,2022,September,...,...,...,...
Mecklenburg-Vorpommern,2022,Oktober,...,...,...,...
Mecklenburg-Vorpommern,2022,November,...,...,...,...
Mecklenburg-Vorpommern,2022,Dezember,...,...,...,...
Niedersachsen,2020,Januar,81.7,4.1,90.1,7.1
Niedersachsen,2020,Februar,83.2,5.2,91.9,8.1
Niedersachsen,2020,März,54.3,-41.4,60,-39.7
Niedersachsen,2020,April,26.9,-72.6,29.8,-72
Niedersachsen,2020,Mai,46.6,-55.9,51.9,-55
Niedersachsen,2020,Juni,69.6,-38.8,77.6,-37.7
Niedersachsen,2020,Juli,91.2,-15.2,106.1,-9.9
Niedersachsen,2020,August,96.9,-16.5,112.7,-11.3
Niedersachsen,2020,September,94.1,-15.1,109.3,-10.3
Niedersachsen,2020,Oktober,83.7,-15.7,97.2,-11.1
Niedersachsen,2020,November,33,-65.8,38.2,-64
Niedersachsen,2020,Dezember,32.9,-67.6,38.1,-65.8
Niedersachsen,2021,Januar,39.1,-52.1,44.5,-50.6
Niedersachsen,2021,Februar,35,-57.9,39.9,-56.6
Niedersachsen,2021,März,42,-22.7,47.9,-20.2
Niedersachsen,2021,April,40.6,50.9,46.4,55.7
Niedersachsen,2021,Mai,51.6,10.7,59.5,14.6
Niedersachsen,2021,Juni,78.8,13.2,92.2,18.8
Niedersachsen,2021,Juli,96.5,5.8,113.7,7.2
Niedersachsen,2021,August,95.9,-1,113,0.3
Niedersachsen,2021,September,91.7,-2.6,107.7,-1.5
Niedersachsen,2021,Oktober,91,8.7,107.3,10.4
Niedersachsen,2021,November,73.5,122.7,86.4,126.2
Niedersachsen,2021,Dezember,64.7,96.7,76.5,100.8
Niedersachsen,2022,Januar,62,58.6,73.7,65.6
Niedersachsen,2022,Februar,61.8,76.6,73.9,85.2
Niedersachsen,2022,März,71.6,70.5,86.1,79.7
Niedersachsen,2022,April,96.2,136.9,101.3,118.3
Niedersachsen,2022,Mai,99,91.9,118.2,98.7
Niedersachsen,2022,Juni,100.7,27.8,123.1,33.5
Niedersachsen,2022,Juli,100.7,4.4,127.5,12.1
Niedersachsen,2022,August,98.8,3,125.5,11.1
Niedersachsen,2022,September,97.6,6.4,124.6,15.7
Niedersachsen,2022,Oktober,...,...,...,...
Niedersachsen,2022,November,...,...,...,...
Niedersachsen,2022,Dezember,...,...,...,...
Nordrhein-Westfalen,2020,Januar,90.7,-3.7,99.8,-1.2
Nordrhein-Westfalen,2020,Februar,93.3,2.4,102.8,4.9
Nordrhein-Westfalen,2020,März,56.6,-45.2,62.4,-43.8
Nordrhein-Westfalen,2020,April,29.6,-69.8,32.9,-69
Nordrhein-Westfalen,2020,Mai,43.2,-58.1,48.1,-57.4
Nordrhein-Westfalen,2020,Juni,60.8,-41.3,67.8,-40.2
Nordrhein-Westfalen,2020,Juli,70.3,-30.3,81.9,-25.7
Nordrhein-Westfalen,2020,August,74.9,-25.8,87.1,-21.1
Nordrhein-Westfalen,2020,September,...,...,...,...
Nordrhein-Westfalen,2020,Oktober,...,...,...,...
Nordrhein-Westfalen,2020,November,...,...,...,...
Nordrhein-Westfalen,2020,Dezember,...,...,...,...
Nordrhein-Westfalen,2021,Januar,...,...,...,...
Nordrhein-Westfalen,2021,Februar,...,...,...,...
Nordrhein-Westfalen,2021,März,...,...,...,...
Nordrhein-Westfalen,2021,April,...,...,...,...
Nordrhein-Westfalen,2021,Mai,...,...,...,...
Nordrhein-Westfalen,2021,Juni,...,...,...,...
Nordrhein-Westfalen,2021,Juli,...,...,...,...
Nordrhein-Westfalen,2021,August,...,...,...,...
Nordrhein-Westfalen,2021,September,...,...,...,...
Nordrhein-Westfalen,2021,Oktober,...,...,...,...
Nordrhein-Westfalen,2021,November,...,...,...,...
Nordrhein-Westfalen,2021,Dezember,...,...,...,...
Nordrhein-Westfalen,2022,Januar,...,...,...,...
Nordrhein-Westfalen,2022,Februar,...,...,...,...
Nordrhein-Westfalen,2022,März,...,...,...,...
Nordrhein-Westfalen,2022,April,...,...,...,...
Nordrhein-Westfalen,2022,Mai,...,...,...,...
Nordrhein-Westfalen,2022,Juni,...,...,...,...
Nordrhein-Westfalen,2022,Juli,...,...,...,...
Nordrhein-Westfalen,2022,August,...,...,...,...
Nordrhein-Westfalen,2022,September,...,...,...,...
Nordrhein-Westfalen,2022,Oktober,...,...,...,...
